210002000;GEOGCS["Nouvelle Triangulation Française Greenwich degrés sexagésimaux",DATUM["NTF",SPHEROID["Clarke 1880 IGN",6378249.2000,293.4660210000000,AUTHORITY["IGNF","ELG010"]],TOWGS84[-168.0000,-60.0000,320.0000,0,0,0,0],AUTHORITY["IGNF","REG002"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","NTFG"]]
210006000;GEOGCS["Kerguelen - K0",DATUM["Kerguelen K0",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[144.8990,-186.7700,100.9230,0,0,0,0],AUTHORITY["IGNF","REG006"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","KERG62GEO"]]
210008000;GEOGCS["Ancienne Triangulation des Ingénieurs",DATUM["ANCIENNE TRIANGULATION DES INGENIEURS GEOGRAPHES",SPHEROID["PLESSIS 1817",6376523.0000,308.6400000000000,AUTHORITY["IGNF","ELG017"]],TOWGS84[1127.0000,22.0000,57.0000,0,0,0,0],AUTHORITY["IGNF","REG008"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","ATIGEO"]]
210009000;GEOGCS["Pointe Géologie - Perroud 1950",DATUM["Pointe géologie-Perroud 1950",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[324.9120,153.2820,172.0260,0,0,0,0],AUTHORITY["IGNF","REG009"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","TERA50G"]]
210013000;GEOGCS["Crozet 1963",DATUM["Crozet-Possession 1963 (assimilé à WGS84)",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[0.0000,0.0000,0.0000,0,0,0,0],AUTHORITY["IGNF","REG013"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","CROZ63GEO"]]
210014000;GEOGCS["Ile d'Amsterdam 1963",DATUM["Ile Amsterdam 1963 (carte 1:25000)",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[109.7530,-528.1330,-362.2440,0,0,0,0],AUTHORITY["IGNF","REG014"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","AMST63GEO"]]
210015000;GEOGCS["Ile de Saint-Paul 1969",DATUM["Ile Saint-Paul 1969 (carte 1:25000)",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[225.5710,-346.6080,-46.5670,0,0,0,0],AUTHORITY["IGNF","REG015"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","STPL69GEO"]]
210017000;GEOGCS["Wallis - Uvea 1978 (MOP78)",DATUM["WALLIS-UVEA SHOM 1978 (MOP1978)",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[253.0000,-133.0000,-127.0000,0,0,0,0],AUTHORITY["IGNF","REG017"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","WALL78GEO"]]
210024000;GEOGCS["Réseau géodésique français 1993",DATUM["Réseau géodésique français 1993",SPHEROID["IAG GRS 1980",6378137.0000,298.2572221010000,AUTHORITY["IGNF","ELG037"]],TOWGS84[0.0000,0.0000,0.0000,0,0,0,0],AUTHORITY["IGNF","REG024"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","RGF93G"]]
210026000;GEOGCS["IGN79 (Tahiti) Iles de la Société",DATUM["IGN79 (TAHITI) ILES DE LA SOCIETE",SPHEROID["International-Hayford 1909",6378388.0000,297.0000000000000,AUTHORITY["IGNF","ELG001"]],TOWGS84[221.5250,152.9480,176.7680,2.3847,1.3896,0.8770,11.474100],AUTHORITY["IGNF","REG026"]],PRIMEM["Greenwich",0.000000000,AUTHORITY["IGNF","LGO01"]],UNIT["degree",0.01745329251994330],AXIS["Longitude",EAST],AXIS["Latitude",NORTH],AUTHORITY["IGNF","TAHI79GEO"]]
